,Organism,Category
AlphaMissense.v2023.hg19,Homo sapiens,Pathogenicity
AlphaMissense.v2023.hg38,Homo sapiens,Pathogenicity
cadd.v1.6.hg19,Homo sapiens,Pathogenicity
cadd.v1.6.hg38,Homo sapiens,Pathogenicity
fitCons.UCSC.hg19,Homo sapiens,Constraint
linsight.UCSC.hg19,Homo sapiens,Constraint
MafDb.1Kgenomes.phase1.GRCh38,Homo sapiens,MAF
MafDb.1Kgenomes.phase1.hs37d5,Homo sapiens,MAF
MafDb.1Kgenomes.phase3.GRCh38,Homo sapiens,MAF
MafDb.1Kgenomes.phase3.hs37d5,Homo sapiens,MAF
MafDb.ExAC.r1.0.GRCh38,Homo sapiens,MAF
MafDb.ExAC.r1.0.hs37d5,Homo sapiens,MAF
MafDb.ExAC.r1.0.nonTCGA.GRCh38,Homo sapiens,MAF
MafDb.ExAC.r1.0.nonTCGA.hs37d5,Homo sapiens,MAF
MafDb.gnomAD.r2.1.GRCh38,Homo sapiens,MAF
MafDb.gnomAD.r2.1.hs37d5,Homo sapiens,MAF
MafDb.gnomADex.r2.1.GRCh38,Homo sapiens,MAF
MafDb.gnomADex.r2.1.hs37d5,Homo sapiens,MAF
MafDb.TOPMed.freeze5.hg19,Homo sapiens,MAF
MafDb.TOPMed.freeze5.hg38,Homo sapiens,MAF
MafH5.gnomAD.v3.1.2.GRCh38,Homo sapiens,MAF
mcap.v1.0.hg19,Homo sapiens,Pathogenicity
phastCons100way.UCSC.hg19,Homo sapiens,Conservation
phastCons100way.UCSC.hg38,Homo sapiens,Conservation
phastCons27way.UCSC.dm6,Drosophila melanogaster,Conservation
phastCons30way.UCSC.hg38,Homo sapiens,Conservation
phastCons35way.UCSC.mm39,Mus musculus,Conservation
phastCons46wayPlacental.UCSC.hg19,Homo sapiens,Conservation
phastCons46wayPrimates.UCSC.hg19,Homo sapiens,Conservation
phastCons60way.UCSC.mm10,Mus musculus,Conservation
phastCons7way.UCSC.hg38,Homo sapiens,Conservation
phyloP100way.UCSC.hg19,Homo sapiens,Conservation
phyloP100way.UCSC.hg38,Homo sapiens,Conservation
phyloP60way.UCSC.mm10,Mus musculus,Conservation
phyloP35way.UCSC.mm39,Mus musculus,Conservation
