"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.16","phyloP scores for Mus musculus on chr1","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1.rds","phyloP35way.UCSC.mm39.chr1.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_GL456210v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456210v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_GL456210v1_random.rds","phyloP35way.UCSC.mm39.chr1_GL456210v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456210v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_GL456211v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456211v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_GL456211v1_random.rds","phyloP35way.UCSC.mm39.chr1_GL456211v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456211v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_GL456212v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456212v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_GL456212v1_random.rds","phyloP35way.UCSC.mm39.chr1_GL456212v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456212v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_GL456221v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456221v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_GL456221v1_random.rds","phyloP35way.UCSC.mm39.chr1_GL456221v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456221v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_GL456239v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456239v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_GL456239v1_random.rds","phyloP35way.UCSC.mm39.chr1_GL456239v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_GL456239v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr1_MU069434v1_random","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_MU069434v1_random.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr1_MU069434v1_random.rds","phyloP35way.UCSC.mm39.chr1_MU069434v1_random.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr1_MU069434v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr2","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr2.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr2.rds","phyloP35way.UCSC.mm39.chr2.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr2.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr3","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr3.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr3.rds","phyloP35way.UCSC.mm39.chr3.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr3.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
"3.16","phyloP scores for Mus musculus on chr4","mm39","https://functionalgenomics.upf.edu/annotationhub/phyloP/phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr4.rds","BigWig","22Dec2020","Mus musculus",10090,"phyloP35way.UCSC.mm39.chr4.rds","phyloP35way.UCSC.mm39.chr4.rds","phyloP35way.UCSC.mm39/phyloP35way.UCSC.mm39.chr4.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/phyloP/","phyloP:UCSC:GScores"
