"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.6","phastCons scores for Drosophila melanogaster on chr2L","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr2L.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chr2L.rds","phastCons27way.UCSC.dm6.chr2L.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr2L.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chr2R","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr2R.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chr2R.rds","phastCons27way.UCSC.dm6.chr2R.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr2R.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chr3L","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr3L.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chr3L.rds","phastCons27way.UCSC.dm6.chr3L.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr3L.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chr3R","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr3R.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chr3R.rds","phastCons27way.UCSC.dm6.chr3R.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr3R.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chr4","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr4.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chr4.rds","phastCons27way.UCSC.dm6.chr4.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chr4.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chrM","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrM.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chrM.rds","phastCons27way.UCSC.dm6.chrM.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrM.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chrUn_CP007071v1","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007071v1.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chrUn_CP007071v1.rds","phastCons27way.UCSC.dm6.chrUn_CP007071v1.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007071v1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chrUn_CP007072v1","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007072v1.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chrUn_CP007072v1.rds","phastCons27way.UCSC.dm6.chrUn_CP007072v1.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007072v1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chrUn_CP007074v1","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007074v1.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chrUn_CP007074v1.rds","phastCons27way.UCSC.dm6.chrUn_CP007074v1.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007074v1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.6","phastCons scores for Drosophila melanogaster on chrUn_CP007076v1","dm6","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007076v1.rds","BigWig","04Dec2014","Drosophila melanogaster",7227,"phastCons27way.UCSC.dm6.chrUn_CP007076v1.rds","phastCons27way.UCSC.dm6.chrUn_CP007076v1.rds","phastCons27way.UCSC.dm6/phastCons27way.UCSC.dm6.chrUn_CP007076v1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
