"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.7","phastCons scores for Homo sapiens on chr1","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr1.rds","phastCons46wayPrimates.UCSC.hg19.chr1.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr1_gl000191_random","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1_gl000191_random.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr1_gl000191_random.rds","phastCons46wayPrimates.UCSC.hg19.chr1_gl000191_random.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1_gl000191_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr1_gl000192_random","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1_gl000192_random.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr1_gl000192_random.rds","phastCons46wayPrimates.UCSC.hg19.chr1_gl000192_random.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr1_gl000192_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr2","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr2.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr2.rds","phastCons46wayPrimates.UCSC.hg19.chr2.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr2.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr3","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr3.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr3.rds","phastCons46wayPrimates.UCSC.hg19.chr3.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr3.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr4","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr4.rds","phastCons46wayPrimates.UCSC.hg19.chr4.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr4_ctg9_hap1","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_ctg9_hap1.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr4_ctg9_hap1.rds","phastCons46wayPrimates.UCSC.hg19.chr4_ctg9_hap1.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_ctg9_hap1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr4_gl000193_random","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_gl000193_random.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr4_gl000193_random.rds","phastCons46wayPrimates.UCSC.hg19.chr4_gl000193_random.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_gl000193_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr4_gl000194_random","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_gl000194_random.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr4_gl000194_random.rds","phastCons46wayPrimates.UCSC.hg19.chr4_gl000194_random.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr4_gl000194_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr5","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr5.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr5.rds","phastCons46wayPrimates.UCSC.hg19.chr5.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr5.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6.rds","phastCons46wayPrimates.UCSC.hg19.chr6.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_apd_hap1","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_apd_hap1.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_apd_hap1.rds","phastCons46wayPrimates.UCSC.hg19.chr6_apd_hap1.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_apd_hap1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_cox_hap2","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_cox_hap2.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_cox_hap2.rds","phastCons46wayPrimates.UCSC.hg19.chr6_cox_hap2.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_cox_hap2.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_dbb_hap3","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_dbb_hap3.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_dbb_hap3.rds","phastCons46wayPrimates.UCSC.hg19.chr6_dbb_hap3.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_dbb_hap3.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_mann_hap4","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_mann_hap4.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_mann_hap4.rds","phastCons46wayPrimates.UCSC.hg19.chr6_mann_hap4.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_mann_hap4.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_mcf_hap5","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_mcf_hap5.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_mcf_hap5.rds","phastCons46wayPrimates.UCSC.hg19.chr6_mcf_hap5.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_mcf_hap5.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_qbl_hap6","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_qbl_hap6.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_qbl_hap6.rds","phastCons46wayPrimates.UCSC.hg19.chr6_qbl_hap6.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_qbl_hap6.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr6_ssto_hap7","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_ssto_hap7.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr6_ssto_hap7.rds","phastCons46wayPrimates.UCSC.hg19.chr6_ssto_hap7.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr6_ssto_hap7.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
"3.7","phastCons scores for Homo sapiens on chr7","hg19","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr7.rds","BigWig","10Nov2009","Homo sapiens",9606,"phastCons46wayPrimates.UCSC.hg19.chr7.rds","phastCons46wayPrimates.UCSC.hg19.chr7.rds","phastCons46wayPrimates.UCSC.hg19/phastCons46wayPrimates.UCSC.hg19.chr7.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,GScores"
