"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.5","CADD scores v1.3 for Homo sapiens on chr1","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr1.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr1.rds","cadd.v1.3.hg19.chr1.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr1.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr10","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr10.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr10.rds","cadd.v1.3.hg19.chr10.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr10.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr11","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr11.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr11.rds","cadd.v1.3.hg19.chr11.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr11.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr12","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr12.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr12.rds","cadd.v1.3.hg19.chr12.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr12.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr13","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr13.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr13.rds","cadd.v1.3.hg19.chr13.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr13.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr14","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr14.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr14.rds","cadd.v1.3.hg19.chr14.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr14.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr15","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr15.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr15.rds","cadd.v1.3.hg19.chr15.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr15.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr16","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr16.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr16.rds","cadd.v1.3.hg19.chr16.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr16.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr17","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr17.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr17.rds","cadd.v1.3.hg19.chr17.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr17.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
"3.5","CADD scores v1.3 for Homo sapiens on chr18","hg19","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.3.hg19/cadd.v1.3.hg19.chr18.rds","VCF","3.5.0","Homo sapiens",9606,"cadd.v1.3.hg19.chr18.rds","cadd.v1.3.hg19.chr18.rds","cadd.v1.3.hg19/cadd.v1.3.hg19.chr18.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD,GScores"
