"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.5","fitCons scores for Homo sapiens on chr1","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr1.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr1.rds","fitCons.UCSC.hg19.chr1.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr10","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr10.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr10.rds","fitCons.UCSC.hg19.chr10.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr10.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr11","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr11.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr11.rds","fitCons.UCSC.hg19.chr11.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr11.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr12","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr12.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr12.rds","fitCons.UCSC.hg19.chr12.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr12.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr13","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr13.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr13.rds","fitCons.UCSC.hg19.chr13.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr13.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr14","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr14.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr14.rds","fitCons.UCSC.hg19.chr14.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr14.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr15","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr15.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr15.rds","fitCons.UCSC.hg19.chr15.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr15.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr16","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr16.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr16.rds","fitCons.UCSC.hg19.chr16.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr16.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr17","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr17.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr17.rds","fitCons.UCSC.hg19.chr17.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr17.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr18","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr18.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr18.rds","fitCons.UCSC.hg19.chr18.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr18.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr19","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr19.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr19.rds","fitCons.UCSC.hg19.chr19.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr19.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr2","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr2.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr2.rds","fitCons.UCSC.hg19.chr2.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr2.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr20","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr20.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr20.rds","fitCons.UCSC.hg19.chr20.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr20.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr21","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr21.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr21.rds","fitCons.UCSC.hg19.chr21.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr21.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr22","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr22.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr22.rds","fitCons.UCSC.hg19.chr22.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr22.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr3","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr3.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr3.rds","fitCons.UCSC.hg19.chr3.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr3.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr4","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr4.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr4.rds","fitCons.UCSC.hg19.chr4.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr4.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr5","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr5.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr5.rds","fitCons.UCSC.hg19.chr5.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr5.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr6","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr6.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr6.rds","fitCons.UCSC.hg19.chr6.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr6.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr7","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr7.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr7.rds","fitCons.UCSC.hg19.chr7.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr7.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr8","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr8.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr8.rds","fitCons.UCSC.hg19.chr8.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr8.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
"3.5","fitCons scores for Homo sapiens on chr9","hg19","http://functionalgenomics.upf.edu/annotationhub/fitCons/fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr9.rds","BigWig","3.5.0","Homo sapiens",9606,"fitCons.UCSC.hg19.chr9.rds","fitCons.UCSC.hg19.chr9.rds","fitCons.UCSC.hg19/fitCons.UCSC.hg19.chr9.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/fitCons/","fitCons,GScores"
