"","BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"1","3.5","phastCons scores for Homo sapiens on chr1","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr1.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr1.rds","phastCons100way.UCSC.hg38.chr1.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr1.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"2","3.5","phastCons scores for Homo sapiens on chr10","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr10.rds","phastCons100way.UCSC.hg38.chr10.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"3","3.5","phastCons scores for Homo sapiens on chr10_GL383545v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_GL383545v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr10_GL383545v1_alt.rds","phastCons100way.UCSC.hg38.chr10_GL383545v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_GL383545v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"4","3.5","phastCons scores for Homo sapiens on chr10_GL383546v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_GL383546v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr10_GL383546v1_alt.rds","phastCons100way.UCSC.hg38.chr10_GL383546v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_GL383546v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"5","3.5","phastCons scores for Homo sapiens on chr10_KI270824v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_KI270824v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr10_KI270824v1_alt.rds","phastCons100way.UCSC.hg38.chr10_KI270824v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_KI270824v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"6","3.5","phastCons scores for Homo sapiens on chr10_KI270825v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_KI270825v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr10_KI270825v1_alt.rds","phastCons100way.UCSC.hg38.chr10_KI270825v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr10_KI270825v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"7","3.5","phastCons scores for Homo sapiens on chr11","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr11.rds","phastCons100way.UCSC.hg38.chr11.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"8","3.5","phastCons scores for Homo sapiens on chr11_GL383547v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_GL383547v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr11_GL383547v1_alt.rds","phastCons100way.UCSC.hg38.chr11_GL383547v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_GL383547v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"9","3.5","phastCons scores for Homo sapiens on chr11_JH159136v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_JH159136v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr11_JH159136v1_alt.rds","phastCons100way.UCSC.hg38.chr11_JH159136v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_JH159136v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"10","3.5","phastCons scores for Homo sapiens on chr11_JH159137v1_alt","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_JH159137v1_alt.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr11_JH159137v1_alt.rds","phastCons100way.UCSC.hg38.chr11_JH159137v1_alt.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_JH159137v1_alt.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
"11","3.5","phastCons scores for Homo sapiens on chr11_KI270721v1_random","hg38","http://functionalgenomics.upf.edu/annotationhub/phastCons/phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_KI270721v1_random.rds","BigWig","3.4.0","Homo sapiens",9606,"phastCons100way.UCSC.hg38.chr11_KI270721v1_random.rds","phastCons100way.UCSC.hg38.chr11_KI270721v1_random.rds","phastCons100way.UCSC.hg38/phastCons100way.UCSC.hg38.chr11_KI270721v1_random.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","Rle","GenomicScores","http://functionalgenomics.upf.edu/annotationhub/phastCons/","phastCons,Annotation"
