"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.6","MCAP scores for Homo sapiens on chr1","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr1.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr1.rds","mcap.v1.0.hg19.chr1.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr1.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr10","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr10.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr10.rds","mcap.v1.0.hg19.chr10.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr10.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr11","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr11.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr11.rds","mcap.v1.0.hg19.chr11.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr11.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr12","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr12.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr12.rds","mcap.v1.0.hg19.chr12.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr12.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr13","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr13.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr13.rds","mcap.v1.0.hg19.chr13.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr13.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr14","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr14.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr14.rds","mcap.v1.0.hg19.chr14.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr14.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr15","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr15.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr15.rds","mcap.v1.0.hg19.chr15.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr15.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr16","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr16.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr16.rds","mcap.v1.0.hg19.chr16.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr16.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr17","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr17.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr17.rds","mcap.v1.0.hg19.chr17.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr17.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr18","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr18.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr18.rds","mcap.v1.0.hg19.chr18.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr18.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr19","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr19.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr19.rds","mcap.v1.0.hg19.chr19.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr19.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr2","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr2.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr2.rds","mcap.v1.0.hg19.chr2.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr2.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr20","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr20.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr20.rds","mcap.v1.0.hg19.chr20.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr20.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr21","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr21.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr21.rds","mcap.v1.0.hg19.chr21.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr21.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr22","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr22.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr22.rds","mcap.v1.0.hg19.chr22.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr22.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
"3.6","MCAP scores for Homo sapiens on chr3","hg19","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/mcap.v1.0.hg19/mcap.v1.0.hg19.chr3.rds","VCF","v1.0","Homo sapiens",9606,"mcap.v1.0.hg19.chr3.rds","mcap.v1.0.hg19.chr3.rds","mcap.v1.0.hg19/mcap.v1.0.hg19.chr3.rds",TRUE,"Stanford","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/bioc3.6/mcap/","MCAP,GScores"
