"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.18","CADD scores for Homo sapiens on chr1","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr1.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr1.rds","cadd.v1.6.hg38.chr1.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr1.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr2","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr2.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr2.rds","cadd.v1.6.hg38.chr2.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr2.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr3","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr3.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr3.rds","cadd.v1.6.hg38.chr3.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr3.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr4","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr4.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr4.rds","cadd.v1.6.hg38.chr4.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr4.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr5","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr5.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr5.rds","cadd.v1.6.hg38.chr5.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr5.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr6","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr6.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr6.rds","cadd.v1.6.hg38.chr6.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr6.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr7","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr7.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr7.rds","cadd.v1.6.hg38.chr7.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr7.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr8","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr8.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr8.rds","cadd.v1.6.hg38.chr8.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr8.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr9","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr9.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr9.rds","cadd.v1.6.hg38.chr9.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr9.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr10","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr10.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr10.rds","cadd.v1.6.hg38.chr10.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr10.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr11","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr11.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr11.rds","cadd.v1.6.hg38.chr11.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr11.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr12","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr12.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr12.rds","cadd.v1.6.hg38.chr12.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr12.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr13","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr13.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr13.rds","cadd.v1.6.hg38.chr13.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr13.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr14","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr14.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr14.rds","cadd.v1.6.hg38.chr14.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr14.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr15","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr15.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr15.rds","cadd.v1.6.hg38.chr15.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr15.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
"3.18","CADD scores for Homo sapiens on chr16","hg38","http://functionalgenomics.upf.edu/annotationhub/cadd/cadd.v1.6.hg38/cadd.v1.6.hg38.chr16.rds","VCF","1.6","Homo sapiens",9606,"cadd.v1.6.hg38.chr16.rds","cadd.v1.6.hg38.chr16.rds","cadd.v1.6.hg38/cadd.v1.6.hg38.chr16.rds",TRUE,"UWashington","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","http://functionalgenomics.upf.edu/annotationhub/cadd/","CADD:UWashington:GScores"
