"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.18","AlphaMissense scores for Homo sapiens on chr1","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr1.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr1.rds","AlphaMissense.v2023.hg19.chr1.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr1.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr2","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr2.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr2.rds","AlphaMissense.v2023.hg19.chr2.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr2.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr3","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr3.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr3.rds","AlphaMissense.v2023.hg19.chr3.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr3.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr4","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr4.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr4.rds","AlphaMissense.v2023.hg19.chr4.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr4.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr5","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr5.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr5.rds","AlphaMissense.v2023.hg19.chr5.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr5.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr6","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr6.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr6.rds","AlphaMissense.v2023.hg19.chr6.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr6.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr7","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr7.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr7.rds","AlphaMissense.v2023.hg19.chr7.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr7.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr8","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr8.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr8.rds","AlphaMissense.v2023.hg19.chr8.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr8.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr9","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr9.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr9.rds","AlphaMissense.v2023.hg19.chr9.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr9.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr10","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr10.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr10.rds","AlphaMissense.v2023.hg19.chr10.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr10.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr11","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr11.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr11.rds","AlphaMissense.v2023.hg19.chr11.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr11.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr12","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr12.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr12.rds","AlphaMissense.v2023.hg19.chr12.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr12.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr13","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr13.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr13.rds","AlphaMissense.v2023.hg19.chr13.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr13.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr14","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr14.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr14.rds","AlphaMissense.v2023.hg19.chr14.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr14.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr15","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr15.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr15.rds","AlphaMissense.v2023.hg19.chr15.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr15.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr16","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr16.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr16.rds","AlphaMissense.v2023.hg19.chr16.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr16.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
"3.18","AlphaMissense scores for Homo sapiens on chr17","hg19","https://functionalgenomics.upf.edu/annotationhub/alphamissense/AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr17.rds","VCF","v2023","Homo sapiens",9606,"AlphaMissense.v2023.hg19.chr17.rds","AlphaMissense.v2023.hg19.chr17.rds","AlphaMissense.v2023.hg19/AlphaMissense.v2023.hg19.chr17.rds",TRUE,"Google DeepMind","Robert Castelo <robert.castelo@upf.edu>","Rle","RDS","https://functionalgenomics.upf.edu/annotationhub/alphamissense/","AlphaMissense:GoogleDeepMind:GScores"
